qid	query	var_desc	var_narr
4833	berufliche mobilität	Variables that operationalize occupational mobility and career change: number/timing of job changes, change in occupational status, promotion/demotion indicators, tenure, sector change, occupational class codes, transition reasons and mobility matrices.	Relevant variables measure job-to-job transitions (counts and dates), occupational codes before/after change (ISCO, national classifications), status/skill-level change (ISEI, EGP, prestige scores), promotion events, change in earnings, sector/industry change, geographic mobility for employment, employment status transitions (unemployed↔employed), and reasons for mobility. Exclude single-item variables only loosely related to mobility (e.g., current occupation only without prior history) or variables about organizational mobility of firms rather than individual career moves.
53691	berufliche einstellung	Variables capturing work-related attitudes: work values (e.g., autonomy, security, income importance), job satisfaction scales, occupational aspirations, career intentions, and attitudes toward vocational training and employment policies.	Relevant variables include Likert-scale items or indexes on importance of job attributes (security, income, status), measures of intrinsic/extrinsic work motivation, commitment to a profession, occupational aspirations and expectations, willingness to retrain, and evaluative items on vocational education. Exclude strictly behavioral variables (e.g., hours worked) or socio-demographic variables unless combined with direct attitude items.
53817	berufliches selbst 	Variables operationalizing the 'professional self': occupational self-efficacy scores, identity centrality, identification with occupation/profession, perceived competence, vocational self-concept dimensions and stability of career identity.	Include variables that measure confidence in performing occupational tasks, the importance of professional role to self-definition, statements of 'I see myself as a [profession]', measures of role conflict affecting professional identity, and scales for career commitment. Exclude generic self-esteem items unless explicitly framed in the occupational/professional domain.
54957	bewertung der sozialpolitik	Variables capturing evaluation of social policy: support/opposition to welfare programs, satisfaction ratings, perceived fairness/effectiveness, willingness to pay/higher taxes for social programs, and trust in welfare institutions.	Include Likert-scale or categorical measures of approval for specific social policies, overall satisfaction with the welfare state, perceived adequacy of benefits, perceived beneficiaries, and policy priority rankings. Also include variables on perceived redistribution preferences and willingness to finance policies. Exclude variables describing policy provision (eligibility, benefit amounts) unless paired with attitudinal assessments.
54952	beziehung führungskraft	Variables operationalizing the relationship with a supervisor: LMX scores, perceived supervisory support, trust in supervisor, frequency/quality of feedback, conflict/abuse indicators, and presence/quality of mentoring.	Include validated measures such as LMX-7 items or composite scores, scales of perceived supervisor support, items on feedback frequency and developmental support, ratings of fairness and conflict with supervisor, and indicators of mentoring and sponsorship. Exclude generic management-level variables that do not capture the employee’s perception of their direct relationship with a supervisor.
54354	bildung erwachsen	Variables capturing adult learning status and context: participation in courses, type of course, frequency/duration, modes (formal/non-formal/informal), motives, barriers, prior education, employment status, age, outcomes (skills, employment changes), and institutional affiliations.	Include variables indicating adult education participation (binary/counts), course type and subject, hours spent in training, certification obtained, reasons for participation, obstacles to participation (cost, time, childcare), socioeconomic indicators (age, gender, education level, occupation), and measurable outcomes (literacy/numeracy scores, employment transitions, wage changes). Exclude variables strictly about school curricula, childhood learning milestones, or biomedical health measures unrelated to adult learning outcomes.
46134	care arbeit	Variables describing caregiving activity and context: caregiver status, hours of care provided, type of care tasks, paid/unpaid status, employment conditions, wages, training, relationship to care recipient, and care-recipient needs.	Include variables indicating whether respondent is an informal or formal caregiver, weekly hours spent on caregiving, types of activities (personal care, medical assistance, household tasks), employment status and sector, contract type, wage level, access to training, extent of state support, care recipient characteristics (age, disability level), and measures of caregiver burden and wellbeing. Exclude variables that do not disaggregate care-specific activities or that only measure general household tasks without caregiving intent.
45765	climate change attitudes	Attitudinal variables: belief in anthropogenic climate change, perceived severity and risk, concern level, worry, perceived personal and societal impact, behavioral intentions, policy support, trust in science, and climate-related values and norms.	Include variables measuring belief in climate change existence and causes (human vs natural), degree of concern or worry, perceived risk to self/community/nation, willingness to change behavior (e.g., reduce energy use, accept costs), support for specific policies (carbon tax, renewables, regulation), trust in scientific expertise, political ideology, and self-reported mitigation/adaptation actions. Exclude variables that only measure environmental attitudes in a generic sense without explicit mention of climate change.
81	climate change	Physical and social variables relevant to climate research: atmospheric temperature, precipitation, greenhouse gas concentrations, emissions by sector, sea-level, extreme event counts, vulnerability indices, adaptation measures, mitigation policy indicators, and socio-economic covariates.	Include variables capturing climate system metrics (mean/seasonal temperatures, anomalies, precipitation), emissions metrics (CO2, CH4 by source/sector), frequency/magnitude of extreme events, exposure and vulnerability measures (population at risk, infrastructure), policy variables (carbon pricing, renewable share), and socio-economic controls (GDP, demographics, land use). Exclude variables unrelated to climate processes or impacts (e.g., unrelated economic microdata without linkage to climate exposure).
43417	conceptions of democracy	Variables reflecting conceptions and evaluations of democracy: support for democracy, preferred democratic attributes (participation, competition, rights), satisfaction with democracy, tolerance of non-democratic alternatives, perceived legitimacy, and related political attitudes.	Include variables that ask respondents to define or choose what democracy means, rate importance of democratic elements (free elections, civil liberties, social justice), measure satisfaction with democratic performance, tolerance for authoritarian alternatives, trust in democratic institutions, and behavioral indicators like voting or protest participation tied to democratic beliefs. Exclude variables unrelated to conceptions (e.g., electoral results) unless used as contextual covariates.
43159	consumer behavior	Variables measuring aspects of purchasing behavior, preferences, attitudes, and demographic correlates relevant to consumption.	Include variables such as purchase frequency, spending/expenditure, product choice, brand awareness, willingness-to-pay, price sensitivity, purchase intention, satisfaction, loyalty, impulse buying, consumption occasions, and socio-demographics (age, income, household composition). Exclude firm financial indicators (profits, revenues) or macroeconomic aggregates that do not represent consumer-level behavior.
43910	covid	Variables that capture infection status, clinical outcomes, preventive behaviors, and pandemic-relevant attitudes and exposures.	Include variables such as SARS-CoV-2 test result, PCR/antigen status, symptom onset and severity, hospitalization, ICU admission, vaccination status and dose dates, compliance with NPIs (mask use, distancing), mobility indices, exposure history, serology results, and pandemic-related mental-health indicators. Exclude generic health variables that are not linked to COVID-19 without clear relevance.
1326	demokratie	Variables capturing regime type, political participation, civil liberties, institutional arrangements, and democratic attitudes.	Include variables such as regime classification (democracy/autocracy), electoral competitiveness, turnout, protest participation, trust in institutions, satisfaction with democracy, freedom of press indices, judicial independence, civil liberties scores, and party-system fragmentation. Exclude economic or social variables unless used to analyze their relationship with democratic outcomes and explicitly labeled as part of democracy research.
1635	depression	Variables that quantify depressive severity, diagnosis, symptom profiles, treatment, and correlates.	Include variables such as depression diagnosis (DSM/ICD), symptom scores (PHQ-9, BDI, CES-D scores), onset age, episode duration, remission status, suicide ideation/attempts, treatment type and adherence, comorbid anxiety, psychosocial stressors, and functional impairment. Exclude generic mood descriptors without validated measurement or clinical relevance.
50072	digital	Variables describing access to, use of, skills with, and impacts of digital technologies.	Include variables like internet access (broadband, mobile), frequency and type of online activities, digital literacy/digital skills scores, device ownership, platform engagement metrics, e-government service usage, teleworking frequency, and measures of digital inequality. Exclude variables that are unrelated to digital technology usage or that refer only to offline phenomena without a digital link.
2185	digitale kompetenz	Variables capturing digital competence constructs and closely related indicators.	Include variables that measure or proxy digital competence: objective test items/scores for digital tasks, composite competency indices, validated scale items (self-efficacy in digital tasks, digital problem solving), frequency of technology use for work/study, participation in digital training, familiarity with software/tools, and domain-specific digital skills (e.g. information evaluation, coding). Include sociodemographic variables and educational attainment as control variables when reported alongside competence measures. Exclude variables that only record device or network characteristics without behavioral or skill interpretation.
49398	digitalisierung und arbeit	Variables measuring digitalization at work, job tasks, automation risk and labor outcomes.	Include variables capturing firm-level ICT adoption, presence of automation/AI, use of specific digital tools, frequency and intensity of digital task performance, job task descriptors, occupational task scores (e.g. routine vs non-routine), training in digital skills, telework incidence, contract type, wages, hours, employment status, job stability, productivity measures and health/wellbeing indicators related to digitalization. Also include industry, occupation codes, and demographic controls. Exclude variables only about consumer online behavior not tied to employment.
5051	digitalisierung am arbeitsplatz	Variables measuring digitalization processes and consequences at the workplace level.	Include variables recording presence and type of workplace digital technologies (software, automation, collaboration tools), measures of task redesign, digital skill requirements, training provided, changes in work organization (remote work, flexible scheduling), productivity/performance metrics, absenteeism, occupational health outcomes, and employee perceptions of change. Include workplace identifiers, sector, size and management practices. Exclude variables that only indicate consumer device ownership or household internet access without workplace context.
50992	digitalisierung arbeit	Variables reflecting digitalization exposure at job, worker and firm levels, and associated labor outcomes.	Include measures of ICT use intensity, automation indicators, digital task frequency, required digital competencies, teleworking prevalence, platform work indicators, job insecurity, wages, productivity, and employment transitions. Also include occupational codes, industry identifiers and demographic controls. Include variables capturing training, upskilling and management responses. Exclude variables solely describing individual leisure internet use.
50011	diskriminierung in schulen	Variables that measure discrimination, inequality and related constructs in school contexts.	Include variables indicating student demographics (ethnicity, migration background, language status, socioeconomic status, disability status, gender, religion), indicators of school processes (tracking/streaming, streaming recommendations, special education placement), disciplinary records (suspensions, expulsions), teacher assessments/grades, test scores, measures of experienced discrimination or perceived bias, inclusion/exclusion indicators, and school-level composition and resources. Include variables capturing anti-discrimination measures or interventions. Exclude variables that cannot be disaggregated by group characteristics and therefore cannot inform discrimination analyses.
505	diskriminierung	Variable definitions and codebooks capturing measures of discrimination: self-reported experiences, perceived discrimination scales, victimization items, audit outcomes, complaint counts, and proxy indicators.	Relevant variables are those explicitly measuring discrimination (e.g., 'experienced discrimination in last 12 months', 'ever treated unfairly because of ethnicity', perceived workplace discrimination scales), variables capturing discriminatory behaviors in experiments or audits (e.g., callback rates by applicant characteristic), and administrative indicators (complaints filed, decisions overturning discrimination claims). Exclude demographic variables that do not operationalize discriminatory experiences, and variables with ambiguous labels not tied to discrimination concepts.
1851	education	Variables relating to education: enrollment status, highest educational qualification, years of schooling, test scores, field of study, school characteristics, teacher-student ratios, and participation in educational programs.	Relevant variables explicitly measuring educational dimensions: school attendance, grade repetition, qualifications attained, standardized test results, literacy/numeracy measures, type of school (public/private/vocational), classroom resources, teacher qualifications, and measures of educational attainment over time. Exclude variables that are tangential demographics with no clear educational meaning or ambiguous labels not tied to schooling or learning.
2769	einstellung zum islam	Variables capturing attitudes toward Islam: feeling thermometers, agree/disagree items on Islam-related statements, perceived threat measures, policy preference items related to Muslim communities, and stereotype scales.	Include variables explicitly assessing respondents' views about Islam or Muslims (e.g., 'warmth toward Muslims', 'Islam is compatible with democracy', 'are Muslims a threat to national culture'), measures of social distance from Muslims, and items on discriminatory preferences or policy support targeting Muslim populations. Exclude generic religiosity variables that do not specify attitudes toward Islam, or variables that only identify respondents' religion.
47410	einstellung zur zuwanderung	Variables measuring attitudes toward immigration: support/opposition to immigration levels, policy preference items, perceived economic/cultural threat, openness to refugees, and social distance toward migrants.	Include explicit attitude variables (e.g., 'allow more/fewer immigrants', 'immigrants are a threat to jobs/culture', 'would you accept immigrants as neighbors'), items on policy positions (border control, asylum), and scales measuring tolerance or prejudice toward migrants. Exclude variables that only identify migrants or immigrants as demographics without measuring respondents' attitudes.
47832	einstellung zu ausländern	Variables that capture attitudes toward foreigners: feeling thermometers, social distance items, perceived threat scales, and policy preference questions specific to foreign populations.	Include explicit variables such as 'warmth toward foreigners', 'would you accept foreigners as neighbors', 'foreigners take jobs from locals', support for restrictions on foreigners, and measures of xenophobic sentiments. Exclude general demographic variables indicating foreigner status or nationality that do not measure attitudes.
47836	einstellung zu fremden	Variable labels and operationalizations that capture attitudes toward foreigners/immigrants: social distance, xenophobia indices, acceptance scales, perceived threat, trust, and contact measures.	Include variables named or operationalized as attitudes toward foreigners/immigrants, social distance (e.g., willingness to live next door/work with/marry a foreigner), xenophobia or prejudice scales, perceived economic/cultural threat, feeling thermometer scores for 'foreigners' or immigrant groups, and intergroup contact frequency/quality. Exclude demographic variables only (age, sex) unless they are combined with attitudinal measures, and variables that measure migration status alone without attitudinal content.
5783	einstellung gender	Variables operationalizing attitudes toward gender: gender role ideology, support for equality, ambivalent sexism subscales, policy support, and stereotypes about male/female traits and capabilities.	Include variables labeled or constructed as traditional/egalitarian gender attitudes, ambivalent sexism (hostile and benevolent sexism), beliefs about women’s employment or leadership, willingness to share domestic labor, and policy support for gender-equality measures. Also include variables measuring gendered stereotypes, perceived gender discrimination, and gender-targeted policy preferences. Exclude purely descriptive demographic variables or occupational classifications unless combined with explicit attitudinal indicators.
47494	einstellungen zum islam	Variables capturing attitudes to Islam/Muslims: favorability ratings, social distance items, perceived threat scales (cultural/security/economic), discrimination experiences, and policy preference variables.	Include variables explicitly measuring views toward Islam or Muslims, such as feeling thermometer scores, willingness to accept Muslim neighbors/colleagues, indexes of Islamophobia, perceived compatibility of Islam with national values, and support/opposition to specific policies affecting Muslims. Also include variables for contact with Muslims and media exposure to Islamic issues. Exclude general religiosity measures that do not specify attitudes toward Islam or Muslims.
66819	employ poland	Variables describing employment outcomes in Poland: employment/unemployment status, sector/industry, occupation codes, contract type, working hours, wages/salary, job tenure, and labor market transitions.	Include variables indicating current employment status (employed, unemployed, inactive), detailed occupation (ISCO), industry (NACE), full-/part-time status, temporary/permanent contract, net/gross wages, hours worked, job search activity, and reason for job exit/hire. Also include variables on informal employment and cross-border commuting when relevant to Poland. Exclude variables unrelated to labor (e.g., clinical health measures) unless linked to employment outcomes.
67161	entfremdung der arbeit	Variables operationalizing dimensions of work alienation: powerlessness, meaninglessness, normlessness, isolation, self-estrangement, lack of autonomy, and low task significance.	Include variables explicitly labeled as alienation or constructed from items addressing feelings of powerlessness at work, lack of control/autonomy, work being meaningless or monotonous, social isolation from colleagues, inability to realize oneself in work, and related indices combining these facets. Also include related measures such as job satisfaction, organizational commitment, and burnout when used to assess alienation. Exclude purely economic variables (wages/hours) unless combined with subjective alienation measures.
79	environment	Variables operationalizing environmental conditions, exposures, perceptions, attitudes and behaviours, e.g., pollution indices, green space proximity, ecological indicators, and measures of environmental concern or pro-environmental behaviour.	"Relevant variables include objective environmental measures (PM2.5, NOx, water contaminants, biodiversity indices), GIS-derived measures (distance to parks, land-cover percentages), and socio-psychological variables (environmental concern, risk perception, frequency of recycling, energy consumption, willingness-to-pay). Exclude variables that only incidentally mention 'environment' without measuring environmental attributes or attitudes (for example, a variable labeled ""environment"" that is a general control for context with no environmental meaning)."
66255	environmental attitude	Variables capturing environmental attitudes and related constructs: scale scores (NEP, environmental concern indices), single-item measures (concern about climate change), and related belief/perception indicators.	Relevant variables are composite scores and individual items assessing environmental concern, ecological worldview, perceived seriousness of environmental problems, climate change belief, support for environmental policies, and self-reported pro-environmental behaviours. Include coding information, item wording, response scales and psychometric properties. Exclude variables labeled ambiguously that do not measure attitudes (e.g., purely behavioural or objective environmental metrics) unless paired with attitudinal items.
6177	erziehung	Variables measuring aspects of Erziehung: parental practices, disciplinary strategies, educational activities, home learning environment, teacher attitudes, and child development outcomes.	Include variables capturing parenting styles (authoritative, authoritarian, permissive), frequency of parent–child activities, disciplinary measures, indicators of early learning environment (e.g., HOME inventory items), school pedagogy variables, and child cognitive and socio-emotional outcome measures. Exclude variables unrelated to upbringing or educational socialization (e.g., purely economic indicators) unless directly used to study Erziehung.
69762	evaluation soziale arbeit	Variables used in social work evaluation: client outcomes (well-being, employment, recidivism), service usage, fidelity indicators, process measures, and contextual factors affecting program success.	Relevant variables include standardized outcome scales (quality of life, symptom scales), indicators of service access and intensity, recidivism or re-referral rates, client satisfaction, and implementation/process measures (caseworker contacts, adherence to protocol). Include socio-demographic covariates commonly used in evaluation. Exclude variables that do not inform intervention effectiveness or implementation (e.g., unrelated administrative codes) unless necessary for record linkage.
69276	external political efficacy	Variables operationalizing external political efficacy and closely related constructs: survey items and composite indices measuring perceived responsiveness of government, influence over political decisions, and trust in institutions.	Include individual items (e.g., 'People like me have no say in what the government does'), composite external efficacy scales, and coding information (item wording, response categories, scoring). Also include related variables such as political trust, internal political efficacy, political participation, and socio-demographics used as covariates. Exclude poorly defined variables that do not capture perceptions of institutional responsiveness.
69667	familie beruf	Key variables on family composition and employment: parental employment status, working hours, occupation, job tenure, leave usage, childcare arrangements, number/age of children, marital status, and household income.	Include variables that measure: current employment (employed/unemployed/out of labour force), working hours (hours/week, part‑time/full‑time), occupation/industry, job contract type, career breaks, maternity/paternity/parental leave (duration, uptake), childcare use and costs, number and ages of children, household composition, partner's employment, household income, education, commute time, and job flexibility. Also include subjective measures: perceived work–family conflict, job satisfaction related to family, and employer support. Exclude variables unrelated to family or employment (e.g., detailed clinical biomarkers) or variables without documentation for coding.
69687	familie karriere	Variables capturing career and family events: promotion history, earnings, job tenure, job mobility, occupational status, leave spells, number/age of children, and partner employment.	Include variables measuring career outcomes (wages/income, promotions, occupational status/authority level, full/part‑time status, job tenure and contract type, career interruptions, re‑entry timing), and family indicators (date of childbirth, number/age of children, caregiving responsibilities, spousal employment). Also include education, training participation, workplace policies available, and subjective career aspirations. Exclude variables that do not allow linking family events and career timelines.
52915	family and changing gender roles	Measures of gender attitudes, division of household labour, time spent on childcare/domestic tasks, employment by gender, parental leave uptake by gender, and household decision‑making indicators.	Include variables such as: responses to gender attitude statements (e.g., views on working mothers, male breadwinner model), time‑use minutes by activity and by household member, caregiver role indicators (primary carer), distribution of specific chores, parental leave uptake and duration by sex, employment status by gender, negotiation/decision‑making variables, and indicators of childcare arrangements. Also include demographic controls (age, education, cohort). Exclude generic demographic variables without gendered household context.
67689	family	Core family variables: household composition, marital/cohabitation status, number and age of children, parental status, kin availability, household income, fertility histories, residential arrangements, and intergenerational transfers.	Include variables that allow characterization of family structure and dynamics: household roster entries, relationship to head, marital status, partnership dates, childbirth dates, fertility histories, number/age of children, coresidence with parents/children, caregiving receipt/provision, household income and resources, housing arrangements, and measures of family support and conflict. Also include demographic controls (age, sex, education, region). Exclude variables that cannot be linked to family units or lack sufficient metadata.
67775	family and gender	Variables linking gender and family: sex/gender of household members, gender attitudes, time spent on domestic and care work by gender, parental leave uptake by sex, employment status by sex, and measures of intra‑household decision making.	Include variables that permit analysis of gendered family dynamics: respondent sex/gender, partner's sex/gender, gender identity if available, allocation of household chores and childcare by gender, paid/unpaid work hours by gender, parental leave and flexible work uptake by sex, attitudes toward gender roles, measures of power/decision making in the household, and indicators of gendered outcomes (income gaps, career interruptions). Also include intersectional markers (education, ethnicity). Exclude variables without gender or family relevance.
