qid	query	pub_desc	pub_narr
53418	belastungen am arbeitsplatz	Publications addressing physical, ergonomic, psychosocial and organizational workplace burdens, exposures and their health or productivity consequences.	Include empirical studies, reviews and reports that examine workplace stressors, ergonomic loads, psychosocial demands (e.g., job strain, effort-reward imbalance), physical hazards (noise, chemicals, manual handling), injury and sickness absence related to work. Include intervention and evaluation studies that aim to reduce workplace burdens. Exclude studies that focus on non-workplace stress (domestic or community stress) unless explicitly linked to occupational exposures, and exclude purely clinical case reports not situated in workplace contexts.
2160	beruf	Publications concerned with occupations, occupational classification, employment status and labor market roles.	Include studies, reports and analyses addressing job titles, occupational status, occupational stratification and their links to socioeconomic outcomes, health or mobility. Include methodological papers on occupation coding and classification. Exclude publications that do not pertain to occupational roles (e.g., unrelated uses of the word) or that treat employment only as a peripheral demographic variable without substantive occupational detail.
53913	beruf und bildung	Publications examining the relationship between educational attainment, qualifications and occupational outcomes or career development.	Include empirical and theoretical studies on how education influences occupational status, job matching, returns to education, vocational training, skill formation and social mobility. Include research on educational-occupational mismatch and transitions from education to employment. Exclude works that deal only with educational pedagogy without linking to occupational destinations or labor market outcomes.
53953	beruf zufriedenheit	Publications on job satisfaction, workplace well-being and their determinants and consequences.	Include empirical studies, reviews and reports that measure overall and facet-specific job satisfaction, examine predictors (work conditions, pay, supervision, autonomy) and outcomes (turnover, health, productivity). Include cross-national comparisons and longitudinal analyses of job satisfaction. Exclude studies that only address general life satisfaction without linking responses to employment or that use job satisfaction as a minor control variable without substantive analysis.
4716	berufliche tätigkeit	Publications on employment activity, types of work tasks, labor force participation and occupational engagement.	Include studies and reports that describe patterns of occupational activity (full-time/part-time, task composition), employment participation across groups, job task analyses, and the relationship between ability/health and work activity. Include investigations of occupational roles over the life course and occupational transitions. Exclude studies focusing on non-occupational activities (leisure, household tasks) unless linked to paid employment.
4833	berufliche mobilität	Scholarly publications, reports and book chapters discussing occupational mobility, career mobility, job-to-job transitions, vertical/horizontal mobility and labor market mobility processes in individual life courses or across groups.	Relevant documents describe empirical or theoretical work on occupational mobility (intra- and inter-occupational moves), measurement and determinants of job changes, promotion/demotion, sectoral mobility, geographic mobility for work, career trajectories and labor market segmentation. Include comparative, longitudinal and life-course studies, policy analyses of mobility barriers, and methodological papers on mobility measurement (e.g., mobility matrices, status scales). Exclude works focused solely on general migration without link to employment, macroeconomic mobility of firms, purely economic mobility concepts not tied to individual careers, or pieces that only mention mobility tangentially without substantive treatment.
53691	berufliche einstellung	Publications on occupational/work-related attitudes: work values, job-related beliefs, attitudes toward employment, vocational orientations, work ethic, and employment-related norms and preferences.	Include empirical and theoretical studies addressing attitudes toward work and occupation, such as work values, preference for job security vs. flexibility, attitudes to vocational training, occupational aspirations, job satisfaction as an attitudinal construct, and public attitudes toward occupations. Exclude publications solely about occupational structure, labor-market outcomes without attitudinal measures, or clinical personality literature that does not connect traits to job attitudes.
53817	berufliches selbst 	Research on the occupational or professional self: professional identity, vocational self-concept, occupational self-efficacy, career identity and the role of self-perception in occupational choices and career development.	Include studies on how individuals perceive their professional role (professional identity, centrality of work to the self), development of vocational self-concept over the life course, occupational self-efficacy and confidence in job-related competencies, and the link between self-concept and career behavior. Exclude general self-concept literature without occupational focus, clinical self-esteem studies unrelated to work, or papers about organizational identity (firm-level) rather than individual professional identity.
54957	bewertung der sozialpolitik	Publications addressing public evaluation of social policies: citizen attitudes toward welfare state programs, assessments of effectiveness and fairness of social policy, and scholarly analyses of policy acceptance and legitimacy.	Include empirical and normative studies measuring or theorizing how individuals and groups evaluate social policy instruments (e.g., pensions, unemployment benefits, healthcare, family policies), perceived effectiveness, satisfaction with social policy, and determinants of support or opposition. Include cross-national comparisons, surveys of public opinion, and impact analyses of policy reforms on public evaluations. Exclude technical policy design papers without public-evaluation data, or studies on fiscal sustainability without linking to public perceptions.
54952	beziehung führungskraft	Research on supervisor–subordinate relationships: leader–member exchange, supervisory support, workplace relations with managers, mentoring and trust between employees and their supervisors.	Include empirical and theoretical studies examining the quality and effects of relationships between employees and their immediate supervisors, including leader–member exchange (LMX), supervisory support, perceived fairness, trust, conflict, mentoring and feedback processes. Include outcomes such as job satisfaction, performance, turnover intentions, and well-being. Exclude studies focused only on broad leadership styles at the organizational level without attention to dyadic relationships, or historical/organizational structure analyses without interpersonal focus.
54354	bildung erwachsen	Publications (articles, books, reports, policy papers) in German or English focused on adult education, continuing education, lifelong learning, and adult learning policies and programs, especially in German-speaking contexts.	Include empirical studies, literature reviews, program evaluations, policy analyses, and theoretical work that address adult education ('Bildung Erwachsen'), continuing vocational training, informal and non-formal learning in adulthood, participation barriers, adult learning outcomes, and policy frameworks in Germany, Austria, Switzerland, or comparative European studies. Prefer sources that explicitly discuss adult learners, adult educational institutions, adult pedagogy, vocational retraining, or lifelong learning strategies. Exclude publications solely about compulsory schooling, higher education for traditional-age students, child or adolescent education, and purely clinical education unrelated to adult learning (unless tied to adult training programs).
46134	care arbeit	Publications in German or English on care work ('Care Arbeit'), including paid and unpaid caregiving, eldercare, childcare, domestic care, labor conditions in care sectors, gendered division of care, and care policy.	Include empirical research, policy analyses, labor studies, ethnographies, and comparative reports that focus on care work performed in households, care institutions, and formal care sectors. Relevant topics: care labor market, unpaid family caregiving, migrant care workers, working conditions, wages, care policies, gender inequalities, and care commodification. Prefer studies addressing Germany or other European contexts when tagged 'Care Arbeit'. Exclude publications solely about clinical health outcomes without focus on care labor, veterinary or non-human care contexts, or general labor topics not specifying care tasks.
45765	climate change attitudes	Academic and policy publications reporting on attitudes, beliefs, perceptions, and public opinion regarding climate change, including determinants of concern, risk perception, behavioral intentions, and policy support.	Include quantitative and qualitative studies, reviews, and policy briefs that directly investigate public attitudes toward climate change, beliefs about causes and risks, climate change skepticism or denial, willingness to act, and support for mitigation/adaptation policies. Prefer works using survey data or experimental designs measuring attitudinal constructs. Exclude publications about climate science per se without social-attitudinal focus, or technical modeling of climate processes absent public opinion analysis.
81	climate change	Publications across social science and natural science that address climate change broadly: causes, impacts, mitigation, adaptation, climate policy, societal responses, and interdisciplinary studies linking physical climate data with social/economic outcomes.	Include peer-reviewed articles, technical reports, assessment reports, policy briefs, and interdisciplinary studies that analyze climate change science, impacts (environmental, economic, social), mitigation and adaptation strategies, public policy and governance, and socio-economic consequences. Prioritize works that present empirical evidence, model results, or policy evaluation. Exclude documents unrelated to anthropogenic climate change such as isolated weather reports or non-climate environmental topics unless explicitly tied to climate change.
43417	conceptions of democracy	Scholarly and policy publications analyzing conceptions, definitions, and lay/theoretical understandings of democracy, democratic values, legitimacy, democratic quality, and citizen perceptions of democratic principles.	Include theoretical work, comparative studies, empirical analyses, and survey-based research that explicitly examine how democracy is conceptualized (procedural vs substantive, liberal vs participatory), public conceptions of democracy, normative debates on democratic legitimacy, and links between conceptions and political behavior. Prioritize publications that operationalize or measure conceptions of democracy. Exclude works that discuss democratic institutions only in technical legal terms without engagement with conceptions or public understandings.
43159	consumer behavior	Publications examining individual or household decision-making, attitudes, and behaviors related to consumption and purchasing across channels and contexts.	Include empirical and theoretical studies on consumer decision processes, buying behavior, brand loyalty, advertising effects, online shopping, impulse purchases, consumer satisfaction, and cross-cultural comparisons of consumption. Include marketing, psychology, and behavioral economics perspectives that directly address how consumers choose, evaluate, and use products or services. Exclude publications focused solely on firm-level financial performance, supply-chain logistics, macroeconomic demand forecasting without individual/household behavior, or purely producer/firm strategies that do not measure consumer responses.
43910	covid	Publications related to COVID-19 (SARS-CoV-2) including epidemiology, public health, social and economic impacts, and policy responses to the pandemic.	Include research on COVID-19 transmission, case studies, clinical outcomes, vaccination and vaccine hesitancy, public-health interventions (NPIs), health-system impacts, mental health consequences, economic and social effects of the pandemic, and evaluations of pandemic policy measures. Include multidisciplinary work (medical, epidemiological, social sciences) if explicitly about COVID-19. Exclude publications not about SARS-CoV-2 or the 2019–present pandemic (e.g., unrelated coronaviruses) unless they directly inform COVID-19 understanding.
1326	demokratie	Publications on democracy (demokratie) including democratic institutions, participation, democratization, and threats to democratic governance.	Include comparative and national studies on democratic institutions, electoral systems, party competition, citizen participation, trust in democracy, civil liberties, democratic backsliding, democratization processes, and normative theory of democracy. Include works in German and other languages if they address democracy-related topics. Exclude studies that use the term 'democracy' metaphorically in unrelated contexts (e.g., 'market democracy' without political-institutional analysis).
1635	depression	Publications on depressive disorders and depressive symptoms, covering epidemiology, diagnosis, etiology, treatment, and outcomes.	Include clinical and population-based studies of major depression, dysthymia, depressive symptomatology, risk and protective factors, psychotherapy and pharmacotherapy trials, longitudinal course of depression, comorbidity with other mental or physical disorders, and public-health impacts. Exclude papers that mention 'depression' only as a transient mood in non-clinical contexts without measurement or analysis of depressive symptoms/disorders.
50072	digital	Publications on digitalization and digital technologies, including digital economy, digital skills, e-government, digital education, and the social effects of digital transformation.	Include empirical and theoretical work on adoption and impacts of digital technologies (internet, mobile, platforms, AI), digital policy, digital divides and inequality, digital labor, e-governance, online behaviors, and digital transformation in organizations and education. Exclude uses of 'digital' as a generic file format reference or unrelated technical mentions without social, economic, or institutional context.
2185	digitale kompetenz	Publications that address digital competence/digital skills: definitions, frameworks, assessments, education and workplace implications.	Include scholarly articles, books, reports and conference papers that define or operationalize 'digital competence' (e.g. DigComp and related frameworks), describe assessment instruments, present empirical measurements (student, teacher, worker populations), discuss training/interventions to improve digital skills, or evaluate outcomes of digital competence on learning and labor-market results. Include theoretical and review articles that synthesize constructs and measurement approaches. Include pieces in German and English and policy documents from education and labor agencies. Exclude publications that only discuss technical IT infrastructure, software development techniques or network engineering without addressing human skills, or that use the phrase solely in marketing contexts without conceptual or empirical content.
49398	digitalisierung und arbeit	Publications on digitization and its effects on work: labor markets, job tasks, skills, organization and employment relations.	Include empirical, theoretical and policy publications examining how digitalization (automation, AI, ICT adoption, platform work) changes job content, task composition, required skills, employment levels, job quality, working conditions, and organizational practices. Include sectoral studies, comparative labor-market analyses, impact assessments, case studies of workplace digital transformation, and reviews. Include publications on regulation, social dialogue and policy responses. Exclude pieces that treat digitization only as background technological change without linking to work, or purely technical ICT research not addressing labor or organizational outcomes.
5051	digitalisierung am arbeitsplatz	Publications specifically focused on digitalization at the workplace: implementation, effects on tasks, workers and management.	Include case studies, empirical research and reviews examining workplace-level digital transformation: adoption of digital tools, changes in workflows and task design, effects on employee skills, productivity, job satisfaction and health, managerial practices, and training. Include interventions to support digital transitions, change management studies, and sector-specific workplace analyses. Exclude general theoretical discussions of digitization without workplace focus or studies limited to consumer digital adoption.
50992	digitalisierung arbeit	Publications on the relationship between digitization and work broadly, including labor market, occupational and organizational perspectives.	Include research that links digitalization processes to changes in employment, job content, skills demand, workplace organization, occupational health and socio-economic inequalities. Accept cross-disciplinary work from economics, sociology, organizational studies, education and public policy that addresses digitization's consequences for work. Include empirical analyses, theoretical contributions and policy evaluations. Exclude materials that discuss digital technology in non-work contexts without drawing implications for labor or occupations.
50011	diskriminierung in schulen	Publications on discrimination in schools: evidence, mechanisms, interventions and policy relevant to students and school staff.	Include empirical studies, theoretical analyses, literature reviews and policy reports examining discrimination in educational settings by race/ethnicity, migration background, gender, disability, socioeconomic status, religion, sexual orientation or other protected characteristics. Include research on discriminatory practices, teacher bias, tracking and streaming, exclusionary discipline, attainment gaps, segregated schooling, microaggressions and anti-discrimination interventions. Include evaluation studies of programs aimed at reducing discrimination and legal/policy analyses. Exclude documents about general bullying unless explicitly linked to discrimination categories, or studies focused on higher education admissions policies only if not connected to school-level discrimination.
505	diskriminierung	Publications (articles, books, reports) addressing discrimination: its forms, causes, prevalence, policy responses, and impacts in social, labor, education, housing, health, and institutional contexts.	Relevant publications are empirical studies, reviews, theoretical works, and policy reports that explicitly investigate discrimination (diskriminierung) or related concepts such as exclusion, unequal treatment, bias, prejudice, or institutional discrimination. Included are works on discrimination on grounds of race/ethnicity, gender, age, disability, religion, migration status, sexual orientation, or other protected characteristics; research on measurement and methodology for discrimination; and evaluations of anti-discrimination policies and interventions. Exclude publications that merely mention the term without substantive analysis, works focused solely on general inequality without reference to discriminatory mechanisms, and items about biological/medical processes that do not address social discrimination.
1851	education	Scholarly and policy publications on education: systems, attainment, access, inequality, pedagogy, labor market returns, and education policy at all levels (early childhood to adult education).	Relevant publications include empirical studies, theoretical analyses, evaluations, and policy reports focused on education topics such as school access, educational attainment, curriculum and pedagogy, teacher quality, educational inequality, special education, vocational training, higher education, lifelong learning, and education policy reforms. Include comparative and country-specific research, quantitative and qualitative studies, and research linking education to outcomes like earnings and social mobility. Exclude publications that refer to 'education' only metaphorically or peripherally, studies solely about non-educational organizations using 'education' as a label, and highly technical works in unrelated fields that use 'education' in a different sense.
2769	einstellung zum islam	Publications examining attitudes toward Islam and Muslims: public opinion studies, prejudice research, media discourse analyses, and studies on policy implications and social integration.	"Include empirical and theoretical works that explicitly measure or analyze attitudes toward Islam or Muslims (""Einstellung zum Islam""), including public opinion surveys, social-psychological studies on prejudice and Islamophobia, media and political discourse analyses, and research on the effects of attitudes on policy, discrimination, and social cohesion. Studies may focus on country-specific or cross-national comparisons, subgroups, or temporal change. Exclude publications that deal with theological scholarship about Islam without addressing public or social attitudes, and works that use 'Islam' only as a background descriptor without analyzing attitudes."
47410	einstellung zur zuwanderung	Publications on attitudes toward immigration/migrants: public opinion research, determinants of immigration attitudes, political consequences, and policy debates.	"Include studies that investigate public attitudes toward immigration (""Einstellung zur Zuwanderung""), including support or opposition to immigration levels, attitudes toward specific immigrant groups, determinants of immigration attitudes (economic, cultural, security), media and political framing effects, and links to voting or policy preferences. Both cross-sectional and longitudinal analyses, comparative studies, and evaluations of messaging interventions are relevant. Exclude works focused solely on migration flows, legal procedures, or migrants' own attitudes unless they pertain to public attitudes about immigration."
47832	einstellung zu ausländern	Publications analyzing attitudes toward foreigners: public opinion, prejudice toward non-nationals, social integration, and consequences for policy and discrimination.	"Relevant publications explicitly study attitudes toward foreigners (""Einstellung zu Ausländern"") or non-citizen groups, including social-psychological research on prejudice and xenophobia, surveys of public sentiment toward immigrants and foreign residents, analyses of determinants of xenophobic attitudes, and implications for social cohesion and policy. Include comparative and national studies, trend analyses, and works linking attitudes to discriminatory behaviors. Exclude studies about foreign policy or international relations that use 'foreigner' in a diplomatic or state-centric context without addressing public attitudes toward people."
47836	einstellung zu fremden	Scholarly publications (articles, books, chapters, reports) analyzing attitudes toward 'foreigners', migrants, immigrants, or ethnic outgroups; includes theoretical and empirical studies in sociology, political science, social psychology, and migration studies.	Include works that empirically or theoretically address attitudes, opinions, stereotypes, prejudice, xenophobia, social distance, integration attitudes, or public opinion regarding 'foreigners' (Fremde) or immigrants. Relevant publications cover national or comparative studies, qualitative and quantitative analyses, longitudinal and cross-sectional research, policy reports, and literature reviews on immigrant attitudes. Exclude items that focus exclusively on unrelated meanings of 'Fremde' (e.g., literary uses without social-attitudinal analysis), studies on mobility or tourism that do not address attitudes toward outgroups, and purely biological/medical studies that do not examine social attitudes.
5783	einstellung gender	Research publications examining attitudes toward gender, gender roles, gender equality, sexism, and related normative beliefs across disciplines such as sociology, gender studies, psychology, and political science.	Include empirical and theoretical publications on gender attitudes (attitudes about gender roles, gender equality in work/family/politics, gender ideology, sexism, and discrimination), comparative and national studies, longitudinal trends, and interventions to change gender attitudes. Exclude publications that use 'gender' solely as a demographic variable without analyzing attitudes, technical gender theory texts with no attitudinal focus, and medical/biological studies that do not engage with social attitudes.
47494	einstellungen zum islam	Scholarly publications analyzing attitudes toward Islam and Muslims, Islamophobia, integration debates, and public opinion concerning Islam in societal and political contexts.	Include empirical and theoretical studies on public attitudes toward Islam/Muslims, prejudice and discrimination against Muslims, media representation, political mobilization around Islam, and comparative research on Islam-related attitudes. Also include policy analyses and surveys of public opinion about Islamic practices and Muslim communities. Exclude theological treatises on Islam that do not address public attitudes, purely historical studies without connection to contemporary attitudes, and medical research unrelated to social perceptions.
66819	employ poland	Publications on employment, labor market dynamics, workplace policies, and employment-related outcomes in Poland, including comparative studies of the Polish labor market.	Include empirical studies, policy reports, working papers, and books addressing employment rates, unemployment, labor force participation, job quality, informal employment, migration-for-work, youth employment, gendered employment patterns, and labor market reforms in Poland. Also include comparative European analyses where Poland is a focal case. Exclude publications about employment in other countries that merely mention Poland in passing, and studies unrelated to labor market or employment (e.g., general demographic history without labor analysis).
67161	entfremdung der arbeit	Scholarly works on alienation from work (Entfremdung der Arbeit), including theoretical treatments (Marxist and sociological), empirical studies of job alienation, and research on related constructs like meaning at work and disengagement.	Include theoretical analyses of work alienation (classical Marxist theory and modern revisions), empirical studies measuring dimensions of alienation (powerlessness, meaninglessness, isolation, self-estrangement), occupational studies, organizational psychology research on alienation and job satisfaction, and comparative labor studies. Exclude uses of 'alienation' unrelated to work (e.g., cultural alienation in a non-work context) unless explicitly linked to employment or occupational experience.
79	environment	Publications addressing the natural, built and social environment, including environmental science, environmental policy, pollution, sustainability, environmental health, and environmental education.	"Relevant publications report empirical studies, reviews, theory, policy analyses or evaluations focused on environmental topics: ecology, climate change, air/water/soil pollution, environmental policy and governance, sustainability transitions, environmental justice, urban and built environment studies, and environmental attitudes/behaviour. Include cross-disciplinary social science work that treats environmental outcomes or human–environment interactions as a principal focus. Exclude works that use 'environment' only metaphorically or as incidental context (e.g., generic organizational ""work environment"" references with no environmental or ecological content), unless the organizational environment is analyzed for environmental outcomes or sustainability."
66255	environmental attitude	Publications studying attitudes toward the environment: measurement, determinants, outcomes, cross-national comparisons, and links between attitudes and behaviour or policy support.	Include empirical and theoretical publications that define, measure, validate or analyse environmental attitudes (e.g., concern for environment, ecological worldview, climate worry), including psychometric studies of scales, determinants (socio-demographic, cultural, political), and consequences for behaviour and policy preferences. Exclude texts that mention environmental attitude only peripherally or focus solely on objective environmental indicators without considering attitudes or perceptions.
6177	erziehung	Publications on Erziehung (upbringing, education, socialization): family socialization, parenting, early childhood education, formal education processes, and pedagogical theory, including German-language literature.	Include empirical studies, theoretical works and reviews focusing on upbringing, parenting practices, childrearing, educational methods (Erziehung in German pedagogical sense), socialization processes, and comparative studies of educational systems. Include German-language publications and works that use 'Erziehung' as a primary concept. Exclude uses of 'Erziehung' in highly specialized non-pedagogical senses (e.g., historical usages unrelated to human development) or documents that only mention the term tangentially.
